model_id,sample_name,outcome,model_stage,model_purpose,requested_model_status,mandatory_controls,suggested_predictors,predictors_used,n_predictors_used,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,public_n_outcome_yes,public_n_outcome_no,weighted_total,weighted_outcome_yes,weighted_pct_yes,fit_status,skip_reason,warning_messages,n_parameters,residual_df,null_deviance,residual_deviance,dispersion
main_grade_10_12__a_H1HS9_yesno__M6_final_parsimonious_model,main_grade_10_12,a_H1HS9_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1PA7; num_H1ED19; num_H1MO9; num_H1MO10; num_H1WP8; num_H1GI1Y; num_H1GH46; num_H1WP14; num_H1ED24; num_H1WP13; num_H1GI20,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1PA7; num_H1ED19; num_H1MO9; num_H1MO10; num_H1WP8; num_H1GI1Y; num_H1GH46; num_H1WP14; num_H1ED24; num_H1WP13; num_H1GI20,1,2250,2250,122,2128,122,2128,7359769.074555518,374911.452032736,5.094065428341964,fitted,,glm.fit: algorithm did not converge,47,2203,905.7405748360028,1.2447143677660595e-8,5.428744876029538e-13
main_grade_10_12__a_sex_ever__M0_core_controls,main_grade_10_12,a_sex_ever,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,3226,3226,1766,1460,1766,1460,10282120.940502645,5613426.773857993,54.594055120923116,fitted,,,4,3222,4444.912825753335,4300.974372281272,1.0008605531645638
main_grade_10_12__a_sex_ever__M1_family_context,main_grade_10_12,a_sex_ever,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP8; num_H1WP13; num_H1PR7; num_H1PR5; num_H1PR8,a_age_wave1; a_grade_wave1; num_H1WP8; num_H1WP13; num_H1PR7; num_H1PR5; num_H1PR8,1,2275,2275,1113,1162,1113,1162,7453951.844306464,3622676.367063062,48.60074820352056,fitted,,,29,2246,3152.037744828758,2878.244298369942,1.0003991572130686
main_grade_10_12__a_sex_ever__M2_school_context,main_grade_10_12,a_sex_ever,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1ED23; num_H1PR2; num_H1ED20; num_H1ED24; num_H1ED19,a_age_wave1; a_grade_wave1; num_H1ED23; num_H1PR2; num_H1ED20; num_H1ED24; num_H1ED19,1,3222,3222,1763,1459,1763,1459,10269952.094127716,5606603.399887035,54.59230333793718,fitted,,,25,3197,4439.422263191701,4108.81973117204,0.9969347633219762
main_grade_10_12__a_sex_ever__M3_knowledge_attitudes,main_grade_10_12,a_sex_ever,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO3; num_H1PF6; num_H1PA3; num_H1MO10; num_H1MO9,a_age_wave1; a_grade_wave1; num_H1MO3; num_H1PF6; num_H1PA3; num_H1MO10; num_H1MO9,1,2949,2949,1580,1369,1580,1369,9343404.988927882,4998839.150219763,53.50125736970072,fitted,,,24,2925,4073.7097456017877,3209.365496847519,1.0026179086495954
main_grade_10_12__a_sex_ever__M4_peers_relationships,main_grade_10_12,a_sex_ever,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12; num_H1PF9; num_H1PF17,a_age_wave1; a_grade_wave1; num_H1PF12; num_H1PF9; num_H1PF17,1,3073,3073,1700,1373,1700,1373,9786849.801158689,5399678.0842744,55.17278995775658,fitted,,,16,3057,4227.133013502713,3958.725615627405,0.9987783287847188
main_grade_10_12__a_sex_ever__M5_general_risk_behaviors,main_grade_10_12,a_sex_ever,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
main_grade_10_12__a_sex_ever__M6_final_parsimonious_model,main_grade_10_12,a_sex_ever,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO3; num_H1PF6; num_H1PA3; num_H1MO10; num_H1MO9; num_H1MO2; num_H1HS9; num_H1GH46; num_H1BC6; num_H1WP8; num_H1PA7; num_H1GI1Y,a_age_wave1; a_grade_wave1; num_H1MO3; num_H1PF6; num_H1PA3; num_H1MO10; num_H1MO9; num_H1MO2; num_H1HS9; num_H1GH46; num_H1BC6; num_H1WP8; num_H1PA7; num_H1GI1Y,1,2891,2891,1560,1331,1560,1331,9170680.649978932,4937659.308457523,53.84179753842879,fitted,,,51,2840,3990.6923844019548,2947.2350713329497,1.0414437254061581
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,478,478,360,118,360,118,1516383.585997021,1167877.379325644,77.01727914429814,fitted,,,4,474,515.3485026120769,512.1917399828877,1.0021358404037308
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP13,a_age_wave1; a_grade_wave1; num_H1WP13,1,267,267,204,63,204,63,873689.239848215,679696.781098415,77.79617169332403,fitted,,,8,259,282.7400072460683,271.5820402287936,1.000245519089064
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2,a_age_wave1; a_grade_wave1; num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2,1,409,409,303,106,303,106,1283707.277570078,973227.517264644,75.81381941737222,fitted,,,26,383,452.53110376915185,390.8939287671354,1.0157286985651552
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12,a_age_wave1; a_grade_wave1; num_H1PF12,1,473,473,356,117,356,117,1495589.307648214,1151246.767595661,76.97612985786687,fitted,,,8,465,510.4281175345993,497.36264849949043,0.9975931568134085
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO13_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO13_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2; num_H1SE1; num_H1WP13; num_H1PF12,a_age_wave1; a_grade_wave1; num_H1SE2; num_H1BC7; num_H1PA3; num_H1SE3; num_H1MO2; num_H1SE1; num_H1WP13; num_H1PF12,1,244,244,184,60,184,60,794954.117228158,609545.168303489,76.67677355126456,fitted,,,38,206,265.0584311723712,214.9039092917934,0.9989989162464814
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,1753,1753,58,1695,58,1695,5574560.619153083,168347.867743347,3.019930703864573,fitted,,,4,1749,474.83264894474354,466.22183657467247,0.9915150173377805
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1RM1; num_H1WP14,a_age_wave1; a_grade_wave1; num_H1RM1; num_H1WP14,1,1032,1032,26,1006,26,1006,3378476.469749415,87496.755015886,2.589828752673708,fitted,,,9,1023,248.05444761568856,215.19476558356425,1.0002455326362185
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1GH46; num_H1MO10; num_H1PA7; num_H1MO5,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1GH46; num_H1MO10; num_H1PA7; num_H1MO5,1,1698,1698,52,1646,52,1646,5369678.511489705,150169.3277906,2.7966167335582,fitted,,,18,1680,433.3285137727562,342.70693569142867,0.9208689810425669
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO16A_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO16A_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1GH46; num_H1RM1; num_H1MO10; num_H1WP14; num_H1PA7; num_H1MO5; num_H1MO14; num_H1GH44,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1GH46; num_H1RM1; num_H1MO10; num_H1WP14; num_H1PA7; num_H1MO5; num_H1MO14; num_H1GH44,1,1013,1013,23,990,23,990,3292539.128890989,76655.345372025,2.3281529048325833,fitted,,,31,982,223.97257111454354,132.28077956206275,1.1316326889785269
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,1753,1753,25,1728,25,1728,5575335.593713314,66382.365302251,1.1906434004995683,fitted,,,4,1749,226.44842046122986,221.76549740990706,1.0068261748364715
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_PA21,a_age_wave1; a_grade_wave1; num_PA21,1,1422,1422,23,1399,23,1399,4543720.509844202,60626.608658878,1.3342944075791496,fitted,,,5,1417,201.5028509799474,192.3525256594864,0.8943676586814715
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4,1,1710,1710,24,1686,24,1686,5418864.481715586,64205.1834941,1.18484571280094,fitted,,,18,1692,220.01714856201193,165.91573080204392,1.1760180454198812
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO16C_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO16C_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4; num_PA21; num_H1BC1; num_H1MO5; num_H1MO14,a_age_wave1; a_grade_wave1; num_H1HS9; num_H1MO9; num_H1MO10; num_H1TS8; num_H1BC4; num_PA21; num_H1BC1; num_H1MO5; num_H1MO14,1,1392,1392,22,1370,22,1370,4436468.09099508,58449.426850727,1.317476552335961,fitted,,,31,1361,195.2338724038757,132.82686364259087,0.6697883974308875
strict_grade_10_12_age_15_19__a_H1CO3_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO3_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,1746,1746,1196,550,1196,550,5550713.269578143,3817666.47940329,68.77794427478028,fitted,,,4,1742,2168.063597443211,2162.596638409901,1.0003385949638
strict_grade_10_12_age_15_19__a_H1CO3_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1CO3_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1PR7; num_H1PR3; num_H1WP13; num_H1RM1,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1PR7; num_H1PR3; num_H1WP13; num_H1RM1,1,1026,1026,713,313,713,313,3354401.40754879,2346655.336985683,69.95749917421149,fitted,,,22,1004,1254.2316083597843,1187.1092372275589,0.9993376353322874
strict_grade_10_12_age_15_19__a_H1CO3_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1CO3_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR2; num_H1ED20,a_age_wave1; a_grade_wave1; num_H1PR2; num_H1ED20,1,1745,1745,1195,550,1195,550,5546873.851224841,3813827.061049988,68.75633308674999,fitted,,,13,1732,2167.4171460468897,2136.984809626454,1.001955091291605
strict_grade_10_12_age_15_19__a_H1CO3_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1CO3_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1,a_age_wave1; a_grade_wave1; num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1,1,1730,1730,1185,545,1185,545,5497697.222603697,3782859.142310267,68.80806616190321,fitted,,,26,1704,2147.372058875246,1989.3839258743037,0.995839509038489
strict_grade_10_12_age_15_19__a_H1CO3_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO3_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PF12,a_age_wave1; a_grade_wave1; num_H1PF12,1,1719,1719,1181,538,1181,538,5445237.376540792,3764491.606251324,69.13365471392545,fitted,,,8,1711,2124.7771294508243,2099.4497456447275,1.000271096814169
strict_grade_10_12_age_15_19__a_H1CO3_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO3_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO3_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO3_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1; num_H1BC8; num_H1SE3; num_H1BC5; num_H1BC2; num_H1BC7; num_H1PF6; num_H1PR8,a_age_wave1; a_grade_wave1; num_H1BC4; num_H1BC3; num_H1SE1; num_H1SE2; num_H1BC1; num_H1BC8; num_H1SE3; num_H1BC5; num_H1BC2; num_H1BC7; num_H1PF6; num_H1PR8,1,1716,1716,1179,537,1179,537,5445729.892363766,3762882.158895585,69.09784791515382,fitted,,,56,1660,2122.058882006951,1918.5030017077042,0.9914817814476726
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,1738,1738,1197,541,1197,541,5527242.718663099,3821417.165391922,69.1378569732184,fitted,,,4,1734,2148.144356764334,2139.0061130832246,1.000057789612097
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1PR3; num_H1PR7; num_H1RM1; num_H1WP8,1,1572,1572,1093,479,1093,479,4984868.681098364,3491940.349924507,70.05079919487656,fitted,,,26,1546,1919.2021912801042,1835.6269949099456,0.9968099387659877
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR2,a_age_wave1; a_grade_wave1; num_H1PR2,1,1737,1737,1196,541,1196,541,5523403.300309797,3817577.74703862,69.11640413482932,fitted,,,9,1728,2147.5091110863546,2122.2428788733287,0.9998890807282085
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5,a_age_wave1; a_grade_wave1; num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5,1,1720,1720,1184,536,1184,536,5468226.008057077,3784393.367495405,69.20696697465222,fitted,,,25,1695,2123.975218205585,1901.7356123463987,0.9979383118202908
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO6_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO6_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5; num_H1SE1; num_H1BC7; num_H1SE3; num_H1MO10; num_H1BC2; num_H1MO9; num_H1PR8,a_age_wave1; a_grade_wave1; num_H1BC1; num_H1BC3; num_H1BC4; num_H1SE2; num_H1BC5; num_H1SE1; num_H1BC7; num_H1SE3; num_H1MO10; num_H1BC2; num_H1MO9; num_H1PR8,1,1681,1681,1165,516,1165,516,5329003.928455024,3722434.589272015,69.8523521327412,fitted,,,56,1625,2057.9142694134366,1735.3455177364804,1.005420778456977
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,398,398,244,154,244,154,1291467.30798297,818368.427599058,63.367335939552056,fitted,,,4,394,522.9494520446625,515.8502146028177,1.0012448411262622
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1WP1; num_H1WP14; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1WP1; num_H1WP14; num_H1WP8,1,250,250,147,103,147,103,827550.438302883,497456.986218314,60.111983897740984,fitted,,,15,235,336.27749898996257,312.45561117329805,0.9978224472872701
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M3_knowledge_attitudes,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M3_knowledge_attitudes,"Assess knowledge, attitudes and perceptions net of core controls.",ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6,a_age_wave1; a_grade_wave1; num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6,1,345,345,207,138,207,138,1098731.195022556,684825.946197599,62.32879791708655,fitted,,,24,321,457.07775792385826,404.4650783806562,1.0071073386861724
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M4_peers_relationships,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M4_peers_relationships,Assess peer and relationship context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M5_general_risk_behaviors,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M5_general_risk_behaviors,Assess general risk behaviors net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
strict_grade_10_12_age_15_19__a_H1CO8_yesno__M6_final_parsimonious_model,strict_grade_10_12_age_15_19,a_H1CO8_yesno,M6_final_parsimonious_model,Combine theoretically defensible and empirically supported predictors.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,a_age_wave1; a_grade_wave1; num_H1MO2; num_H1MO3; num_H1PA3; num_H1MO10; num_H1BC6; num_H1PF6; num_H1RP5; num_H1WP1; num_H1WP14; num_H1WP8,1,224,224,128,96,128,96,740632.583818658,439732.328038175,59.372533378283336,fitted,,,43,181,302.6123259098911,225.89757890100435,1.2658615816791996
strict_grade_10_12_age_15_19__a_H1FP7_yesno__M0_core_controls,strict_grade_10_12_age_15_19,a_H1FP7_yesno,M0_core_controls,Baseline model with mandatory controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,a_age_wave1; a_grade_wave1,1,892,892,161,731,161,731,2812035.548256034,498089.163101474,17.712761967407506,fitted,,,4,888,833.1456509099834,806.7162659452821,1.0069375517587704
strict_grade_10_12_age_15_19__a_H1FP7_yesno__M1_family_context,strict_grade_10_12_age_15_19,a_H1FP7_yesno,M1_family_context,Assess family and household context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,num_H1PR8; num_H1WP1; num_PA55; num_H1RM1; num_H1WP14,a_age_wave1; a_grade_wave1; num_H1PR8; num_H1WP1; num_PA55; num_H1RM1; num_H1WP14,1,379,379,53,326,53,326,1242519.131294217,165187.060190761,13.294528513110373,fitted,,,15,364,297.09617897639447,246.68684990136813,1.031939006509695
strict_grade_10_12_age_15_19__a_H1FP7_yesno__M2_school_context,strict_grade_10_12_age_15_19,a_H1FP7_yesno,M2_school_context,Assess school and educational context net of core controls.,ready_for_script10_specification,a_age_wave1; a_female; a_grade_wave1,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,skipped,no_suggested_predictors_for_this_block,,NA,NA,NA,NA,NA
